,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,151,3,154,280,3668,31175,0.0,40711,9237,49948,24927,2126,2331,57,6123,35507,3388,52,5.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2009-01-01,-5.8,0.0,2.3,45.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
1,341,0,341,285,4181,36463,0.0,47815,9459,57274,28705,1147,5808,44,6561,42221,3896,34,5.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2009-01-02,-2.8,0.0,1.6,51.5,0.0,0.0,0.0,0.0,0.0,1,1,3,1
2,34,0,34,141,357,5689,0.0,6263,2593,8856,2109,937,917,1,2038,6001,216,2,5.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2009-01-03,-1.0,0.0,1.8,48.3,0.9,0.0,0.0,0.0,0.0,1,1,3,1
3,64,0,64,291,962,18911,0.0,17762,6284,24046,5225,4200,2375,4,4141,15941,671,6,5.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2009-01-04,0.4,0.0,1.9,44.3,2.0,0.0,0.0,0.0,0.0,1,1,3,1
4,6,0,6,1253,6802,50002,0.0,65667,30767,96434,46960,3036,6,32,26080,76082,5549,124,5.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2009-01-05,-1.6,0.0,2.2,53.1,1.6,0.0,0.0,0.0,0.0,1,1,4,1
5,14,0,14,52,196,5247,0.0,5278,1362,6640,1550,1390,646,0,1125,4711,144,3,5.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2009-01-06,-2.0,0.0,1.7,50.0,3.6,0.0,0.0,0.0,0.0,2,1,3,1
6,196,0,196,428,1322,17721,0.0,19537,4921,24458,5498,4644,2027,13,3472,15641,894,6,5.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2009-01-07,-0.5,0.0,1.8,42.0,0.5,0.0,0.0,0.0,0.0,1,1,3,1
7,159,4,163,442,2480,38843,0.0,37414,7376,44790,18736,1031,8171,18,4855,32793,2038,32,5.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2009-01-08,-0.9,0.0,1.8,42.0,3.0,0.0,0.0,0.0,0.0,2,1,3,1
8,155,0,155,212,2386,21455,0.0,31391,6728,38119,17024,1075,2960,66,4171,25230,2174,52,5.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2009-01-09,-3.5,0.0,3.0,43.0,0.5,0.0,0.0,0.0,0.0,1,1,3,2
9,7,0,7,136,450,5565,0.0,5882,2236,8118,2650,1207,174,5,1720,5751,314,4,5.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2009-01-10,-7.5,0.0,3.5,42.0,0.4,0.0,0.0,0.0,0.0,1,1,3,2
10,323,0,323,377,1301,8430,0.0,8825,4422,13247,1930,1776,1065,4,3160,7931,924,314,5.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2009-01-11,-8.0,0.0,3.3,39.5,0.4,0.0,0.0,0.0,0.0,1,1,2,2
11,85,8,93,724,1506,12860,0.0,13280,6342,19622,3299,1379,4876,3,3983,13537,782,235,5.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2009-01-12,-7.8,0.0,4.1,47.5,0.5,0.0,0.0,0.0,0.0,1,1,3,4
12,391,0,391,957,1798,12128,0.0,11308,7727,19035,3331,2046,1470,6,4750,11597,841,0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2009-01-13,-5.5,0.0,2.1,45.3,1.4,0.0,0.0,0.0,0.0,1,1,3,1
13,210,0,210,633,1356,15722,0.0,13693,8438,22131,3483,3919,1523,26,5312,14237,723,6,5.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2009-01-14,-6.6,0.0,3.5,39.6,0.4,0.0,0.0,0.0,0.0,1,1,2,2
14,76,3,79,360,2364,17440,0.0,25240,7527,32767,14332,917,1152,11,5168,21569,2004,98,5.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2009-01-15,-6.3,0.0,2.1,34.4,2.5,0.0,0.0,0.0,0.0,1,1,2,1
15,208,1,209,397,3324,24801,0.0,36124,8517,44641,19965,1001,3507,18,5194,29667,2927,30,5.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2009-01-16,-2.8,3.3,2.0,80.8,6.0,9.75,0.0,0.0,3.3,3,1,5,1
16,154,16,170,376,862,13554,0.0,12181,2780,14961,3030,2469,3493,0,2109,11101,486,0,5.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2009-01-17,-1.4,0.0,2.3,76.8,0.9,0.0,0.0,0.0,0.0,1,1,5,1
17,55,0,55,123,221,3820,0.0,2703,825,3528,236,1442,331,6,577,2586,98,0,5.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2009-01-18,2.6,0.0,2.4,71.8,7.8,0.0,0.0,0.0,0.0,3,1,5,1
18,83,0,83,507,833,5905,0.0,6302,3361,9663,1855,1287,606,14,2432,6180,326,0,5.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2009-01-19,0.6,0.0,2.6,48.0,2.3,0.0,0.0,0.0,0.0,1,1,3,1
19,239,0,239,1694,2307,20371,0.0,17342,8833,26175,3440,5520,2547,150,4777,16284,613,5,5.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2009-01-20,2.2,0.0,1.7,30.3,5.6,0.0,0.0,0.0,0.0,2,1,2,1
20,588,0,588,691,4298,44116,0.0,56592,11902,68494,33320,1986,8164,40,8412,51882,3607,136,5.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2009-01-21,3.9,0.0,1.9,53.6,8.9,0.58,0.0,0.0,0.0,3,1,4,1
21,244,1,245,478,2088,24463,0.0,34461,8810,43271,18453,997,4690,16,5747,29887,1610,33,5.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2009-01-22,3.6,0.0,3.4,61.6,6.5,0.47,0.0,0.0,0.0,3,1,5,2
