,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,10,0,10,0,35,4300,0.0,5953,487,6440,3026,162,1112,0,440,4740,35,2,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2005-01-01,-4.9,0.0,2.1,41.5,0.9,0.0,0.0,0.0,0.0,1,1,3,1
1,8,0,8,0,26,3817,0.0,5264,798,6062,2643,113,990,0,749,4495,26,2,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2005-01-02,0.4,0.0,2.8,58.9,5.6,0.45,0.0,0.0,0.0,2,1,4,1
2,2,0,2,0,4,344,0.0,468,390,858,205,13,99,0,386,703,4,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2005-01-03,2.9,1.5,3.6,70.3,7.6,4.65,0.0,0.0,1.5,3,1,5,2
3,0,0,0,0,1,663,0.0,801,399,1200,374,41,171,0,394,980,1,1,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2005-01-04,-4.9,0.0,3.2,39.0,0.0,0.0,0.0,0.0,0.0,1,1,2,2
4,0,0,0,0,0,841,0.0,1043,560,1603,410,54,273,0,548,1285,0,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2005-01-05,-3.8,0.0,1.6,41.9,3.3,0.0,0.0,0.0,0.0,2,1,3,1
5,1,0,1,0,4,909,0.0,1189,594,1783,548,60,261,0,542,1411,4,1,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2005-01-06,0.1,0.0,2.0,58.1,8.0,0.83,0.0,0.0,0.0,3,1,4,1
6,0,0,0,0,2,1708,0.0,1481,459,1940,369,25,752,0,440,1586,2,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2005-01-07,-2.9,0.0,3.6,52.4,1.5,1.58,0.0,0.0,0.0,1,1,4,2
7,23,0,23,0,34,1752,0.0,2533,471,3004,1125,69,523,0,454,2171,34,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2005-01-08,-5.0,0.0,2.6,51.3,1.3,1.7,0.0,0.0,0.0,1,1,3,1
8,1,0,1,0,8,1511,0.0,1963,399,2362,972,77,403,0,389,1841,8,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2005-01-09,-8.0,0.0,2.9,43.9,0.0,0.0,0.0,0.0,0.0,1,1,3,1
9,3,0,3,0,3,291,0.0,407,266,673,165,25,89,0,265,544,3,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2005-01-10,-5.7,0.0,2.1,57.8,3.1,1.03,0.0,0.0,0.0,2,1,4,1
10,0,0,0,0,1,429,0.0,634,378,1012,274,19,125,0,367,785,1,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2005-01-11,-6.3,0.0,3.0,48.1,0.1,0.0,0.0,0.0,0.0,1,1,3,2
11,2,0,2,0,4,451,0.0,662,473,1135,266,42,136,0,461,905,4,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2005-01-12,-6.1,0.0,2.1,44.9,0.0,0.0,0.0,0.0,0.0,1,1,3,1
12,4,0,4,0,12,498,0.0,725,454,1179,331,25,128,0,442,926,12,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2005-01-13,-4.8,0.0,2.1,55.4,0.5,0.0,0.0,0.0,0.0,1,1,4,1
13,1,0,1,0,6,960,0.0,1101,543,1644,441,33,330,0,527,1331,6,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2005-01-14,-3.1,0.0,1.8,51.1,5.0,0.0,0.0,0.0,0.0,2,1,3,1
14,4,0,4,0,22,2247,0.0,2993,651,3644,1382,133,645,0,626,2786,22,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2005-01-15,-2.6,0.0,2.6,56.9,1.4,0.0,0.0,0.0,0.0,1,1,4,1
15,6,0,6,0,36,3335,0.0,4494,644,5138,2404,164,741,0,619,3928,36,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2005-01-16,-0.8,0.3,2.7,67.1,4.4,5.38,0.0,0.0,0.3,2,1,5,1
