,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,5,0,5,0,13,1508,0.0,2125,349,2474,1092,72,344,3,342,1850,13,1,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2008-01-01,-6.3,0.0,3.6,48.5,0.6,0.0,0.0,0.0,0.0,1,1,3,2
1,3,0,3,4,10,508,0.0,715,742,1457,329,60,119,0,732,1240,6,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2008-01-02,-3.4,0.0,2.2,50.1,1.0,0.0,0.0,0.0,0.0,1,1,3,1
2,2,0,2,1,11,725,0.0,1023,897,1920,462,57,169,1,872,1560,10,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2008-01-03,0.9,0.0,2.5,52.0,3.6,0.0,0.0,0.0,0.0,2,1,4,1
3,1,0,1,3,4,875,0.0,1342,948,2290,554,61,260,0,928,1803,1,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2008-01-04,-0.3,0.0,2.0,54.4,3.3,0.0,0.0,0.0,0.0,2,1,4,1
4,24,0,24,8,83,3545,0.0,5182,1306,6488,2415,138,992,4,1194,4739,75,2,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2008-01-05,1.6,0.0,1.5,62.5,1.9,0.0,0.0,0.0,0.0,1,1,5,1
5,24,0,24,17,104,5357,0.0,7811,1402,9213,3834,209,1314,4,1309,6666,87,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2008-01-06,4.1,0.0,1.5,73.3,8.5,0.0,0.0,0.0,0.0,3,2,5,1
6,6,0,6,1,9,846,0.0,1217,848,2065,567,66,213,2,824,1670,8,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2008-01-07,2.8,0.0,1.9,82.1,7.4,0.0,0.0,0.0,0.0,3,1,5,1
7,11,0,11,1,22,765,0.0,1123,856,1979,513,78,174,2,840,1605,21,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2008-01-08,1.8,0.0,1.9,63.3,8.6,0.0,0.0,0.0,0.0,3,1,5,1
8,3,0,3,2,11,879,0.0,1247,966,2213,576,91,172,0,943,1782,9,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2008-01-09,0.9,0.0,1.7,46.6,6.1,0.0,0.0,0.0,0.0,3,1,3,1
9,0,0,0,6,6,835,0.0,1177,870,2047,557,75,203,2,856,1691,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2008-01-10,0.1,0.0,1.7,39.1,4.3,0.0,0.0,0.0,0.0,2,1,2,1
