,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,731,2097,2828,1089,95,1355,171,43,595,1950,11,6,0,5,0,0,12,23,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2013-01-01,-4.7,3.1,3.2,73.5,8.3,8.93,0.0,0.0,3.1,3,1,5,2
1,474,673,1147,162,18,233,17,12,445,642,2,2,0,0,0,0,0,2,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2013-01-02,-11.7,0.0,4.2,40.8,0.3,0.0,0.0,0.0,0.0,1,1,2,4
2,339,451,790,85,12,111,14,16,314,425,1,1,0,0,0,0,1,2,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2013-01-03,-13.2,0.0,2.8,42.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
3,415,616,1031,130,27,186,29,7,366,552,0,0,0,0,0,0,3,3,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2013-01-04,-10.7,0.0,1.8,44.3,0.0,0.0,0.0,0.0,0.0,1,1,3,1
4,1091,1970,3061,711,63,906,102,12,980,1856,3,2,0,1,0,0,3,6,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2013-01-05,-7.0,0.0,2.3,59.4,2.3,0.0,0.0,0.0,0.0,1,1,4,1
5,1430,2957,4387,1209,87,1509,213,23,1220,2729,18,17,0,1,0,0,10,28,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2013-01-06,-6.3,0.0,1.9,59.4,1.4,0.0,0.0,0.0,0.0,1,1,4,1
6,799,1199,1998,297,31,397,69,16,749,1146,3,3,0,0,0,0,3,6,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2013-01-07,-5.1,0.0,1.7,53.6,6.6,0.0,0.0,0.0,0.0,3,1,4,1
7,1131,1583,2714,338,35,433,60,8,1047,1480,0,0,0,0,0,0,7,7,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2013-01-08,-4.6,0.0,2.2,53.4,2.4,0.0,0.0,0.0,0.0,1,1,4,1
8,716,934,1650,138,25,237,22,2,687,872,0,0,0,0,0,0,1,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2013-01-09,-9.0,0.0,3.0,38.5,0.0,0.0,0.0,0.0,0.0,1,1,2,2
9,598,819,1417,152,14,196,30,10,551,747,0,0,0,0,0,0,8,8,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2013-01-10,-8.3,0.0,2.3,41.3,0.5,0.0,0.0,0.0,0.0,1,1,3,1
