,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,3,0,3,5,21,3025,0,2820,2997,5817,1562,144,304,891,1949,3959,16,1,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2012-01-01,-3.0,0.0,2.9,64.5,5.1,1.58,0.0,0.0,0.0,2,1,5,1
1,0,0,0,5,5,813,0,985,708,1693,547,71,111,9,682,1411,0,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2012-01-02,-4.8,0.0,2.3,66.5,2.9,0.0,0.0,0.0,0.0,1,1,5,1
2,0,0,0,13,13,459,0,617,929,1546,330,63,66,8,898,1357,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2012-01-03,-4.5,0.4,2.5,68.3,7.5,6.08,0.0,0.0,0.4,3,1,5,1
3,1,0,1,2,8,274,0,436,710,1146,212,34,28,12,703,977,6,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2012-01-04,-7.4,0.0,3.1,55.4,1.1,2.25,0.0,0.0,0.0,1,1,4,2
4,0,0,0,2,2,331,0,485,693,1178,253,18,60,2,643,974,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2012-01-05,-5.7,0.0,1.5,49.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
5,1,0,1,1,3,5369,0,3194,935,4129,832,74,2054,7,919,3879,2,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2012-01-06,-2.8,0.0,2.5,42.9,3.1,0.0,0.0,0.0,0.0,2,1,3,1
6,2,0,2,16,25,2112,0,3008,1529,4537,1619,119,374,35,1409,3521,9,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2012-01-07,-3.8,0.0,1.6,46.5,0.0,0.0,0.0,0.0,0.0,1,1,3,1
7,3,0,3,8,23,2427,0,3502,1622,5124,1925,130,372,17,1494,3921,15,1,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2012-01-08,-2.5,0.0,1.7,54.3,6.8,0.0,0.0,0.0,0.0,3,1,4,1
8,0,0,0,6,6,598,0,772,915,1687,396,69,99,1,877,1441,0,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2012-01-09,-0.3,0.0,1.9,66.1,6.4,0.17,0.0,0.0,0.0,3,1,5,1
9,1,0,1,19,23,516,0,680,961,1641,373,63,80,5,933,1449,4,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2012-01-10,-2.5,0.0,2.5,53.9,1.9,0.0,0.0,0.0,0.0,1,1,4,1
10,0,0,0,1,3,343,0,494,740,1234,236,57,50,11,727,1070,2,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2012-01-11,-6.0,0.0,3.1,42.3,0.0,0.0,0.0,0.0,0.0,1,1,3,2
11,0,0,0,0,0,532,0,688,793,1481,272,49,47,7,780,1148,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2012-01-12,-4.6,0.0,2.5,56.5,4.5,1.83,0.0,0.0,0.0,2,1,4,1
12,1,0,1,4,7,3209,0,2083,930,3013,1200,70,599,4,915,2784,3,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2012-01-13,-1.2,0.0,2.5,52.8,3.3,0.0,0.0,0.0,0.0,2,1,4,1
13,3,0,3,8,37,2690,0,3747,1467,5214,2072,179,374,33,1344,3969,29,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2012-01-14,-1.5,0.0,2.1,51.6,2.5,0.0,0.0,0.0,0.0,1,1,3,1
14,9,0,9,27,58,3080,0,4382,1717,6099,2457,151,472,18,1530,4610,31,1,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2012-01-15,-2.6,0.0,2.4,44.5,4.6,0.0,0.0,0.0,0.0,2,1,3,1
15,2,0,2,8,18,784,0,1082,891,1973,483,96,136,10,862,1577,10,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2012-01-16,1.0,0.0,1.4,44.6,1.4,0.0,0.0,0.0,0.0,1,1,3,1
16,0,0,0,32,35,698,0,859,1019,1878,520,65,113,5,977,1675,3,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2012-01-17,2.8,0.0,1.8,48.5,4.3,0.0,0.0,0.0,0.0,2,1,3,1
17,1,0,1,6,16,842,0,1125,1017,2142,616,68,115,11,1003,1802,10,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2012-01-18,1.4,0.0,1.7,39.8,4.8,0.0,0.0,0.0,0.0,2,1,2,1
18,0,0,0,5,9,557,0,848,940,1788,357,76,94,1,898,1425,4,2,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2012-01-19,5.3,0.2,2.9,54.4,9.3,4.42,0.0,0.0,0.2,4,2,4,1
19,4,0,4,1,8,1696,0,1405,668,2073,719,87,327,14,650,1783,7,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2012-01-20,5.4,0.5,3.4,61.0,9.8,9.25,0.0,0.0,0.5,4,2,5,2
20,1,0,1,0,2,1516,0,2122,1067,3189,1217,124,175,27,1025,2541,2,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2012-01-21,2.4,0.1,2.8,60.3,7.8,2.33,0.0,0.0,0.1,3,1,5,1
21,2,0,2,6,10,949,0,1342,582,1924,791,43,115,90,549,1498,4,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2012-01-22,-7.7,0.0,4.2,37.9,1.9,0.0,0.0,0.0,0.0,1,1,2,4
22,0,0,0,2,3,1130,0,1500,378,1878,945,53,132,295,333,1463,1,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2012-01-23,-9.6,0.0,3.4,33.3,0.0,0.0,0.0,0.0,0.0,1,1,2,2
