,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,break_summer.1,break_winter.1,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
23,18,110,128,0,18,16,1,1,0,0,110,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-24,-14.2,0.0,3.4,31.6,0.0,0.0,0.0,0.0,0.0,1,1,2,2
24,23,139,162,1,23,23,0,0,1,0,139,162,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-25,-14.0,0.0,2.8,32.6,3.6,0.0,0.0,0.0,0.0,2,1,2,1
25,50,172,222,0,50,31,13,6,0,0,172,222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-26,-14.8,0.0,2.6,34.9,0.0,0.0,0.0,0.0,0.0,1,1,2,1
26,247,408,655,11,244,200,30,14,11,0,408,652,3,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-01-27,-9.9,0.0,1.4,37.4,1.8,0.0,0.0,0.0,0.0,1,1,2,1
27,457,505,962,15,448,364,30,54,15,0,493,941,9,7,1,1,0,0,12,21,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-01-28,-6.3,0.0,2.6,36.0,3.3,0.0,0.0,0.0,0.0,2,1,2,1
28,87,322,409,6,87,74,7,6,6,0,312,399,0,0,0,0,0,0,10,10,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-01-29,-8.5,0.0,2.7,35.0,0.1,0.0,0.0,0.0,0.0,1,1,2,1
29,9203,457,9660,2,9202,91,9100,11,2,9097,452,9654,1,1,0,0,0,0,5,6,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-01-30,-5.3,2.9,1.3,62.0,5.8,8.67,0.0,0.0,2.9,2,1,5,1
30,151,434,585,12,151,131,11,9,12,0,424,575,0,0,0,0,0,0,10,10,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-31,-2.6,0.0,1.6,54.5,7.4,0.67,0.0,0.0,0.0,3,1,4,1
31,194,485,679,5,191,154,19,18,5,0,485,676,3,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-01,-4.0,0.0,1.6,44.1,0.0,0.0,0.0,0.0,0.0,1,1,3,1
32,152,552,704,11,152,127,14,11,11,0,532,684,0,0,0,0,0,0,20,20,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-02,-2.4,0.0,1.6,51.1,1.9,0.0,0.0,0.0,0.0,1,1,3,1
