,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
23,1628,1802,3430,59,1536,1073,8,455,59,910,1422,2958,92,92,0,0,0,125,380,472,0,1,0,0,0,0,0,0,1,0,0,0,2017-04-20,12.9,0.1,2.3,45.4,7.4,0.42,0.1,0.1,0.1,3,4,3,1
24,4057,3208,7265,63,3833,2579,620,634,49,1897,2283,6116,224,223,0,1,14,458,925,1149,1,0,0,0,0,0,0,0,1,0,0,0,2017-04-21,13.1,0.0,2.0,56.5,3.1,0.0,0.0,0.0,0.0,2,4,4,1
25,22402,8396,30798,241,21112,17966,288,2858,220,1328,7822,28934,1290,1175,4,111,21,33,574,1864,0,0,0,0,0,1,0,0,1,0,0,0,2017-04-22,14.8,0.0,2.1,48.4,0.5,0.0,0.0,0.0,0.0,1,4,3,1
26,25108,15008,40116,300,23455,20355,245,2855,260,285,14591,38046,1653,1499,24,130,40,48,417,2070,0,0,0,0,1,0,0,0,1,0,0,0,2017-04-23,14.9,0.0,2.4,40.0,0.1,0.0,0.0,0.0,0.0,1,4,2,1
27,3603,2423,6026,74,3392,2809,24,559,70,638,1996,5388,211,210,0,1,4,121,427,638,0,0,0,1,0,0,0,0,1,0,0,0,2017-04-24,15.1,0.0,2.7,39.4,4.8,0.0,0.0,0.0,0.0,2,4,2,1
28,2604,3056,5660,74,2372,1766,222,384,66,1452,2260,4632,232,144,1,87,8,472,796,1028,0,0,0,0,0,0,1,0,1,0,0,0,2017-04-25,16.0,0.0,2.7,56.8,7.9,0.0,0.0,0.0,0.0,3,5,4,1
29,3457,3918,7375,16,3099,2372,61,666,16,1762,2669,5768,358,358,0,0,0,1103,1249,1607,0,0,1,0,0,0,0,0,1,0,0,0,2017-04-26,15.1,0.0,3.3,36.0,2.0,0.0,0.0,0.0,0.0,1,4,2,2
30,3364,4277,7641,52,3108,2381,201,526,45,1886,2906,6014,256,255,1,0,7,823,1371,1627,0,1,0,0,0,0,0,0,1,0,0,0,2017-04-27,13.6,0.0,3.3,41.8,0.4,0.0,0.0,0.0,0.0,1,4,3,2
31,5319,4214,9533,67,4819,2638,1764,417,61,3566,3122,7941,500,395,1,104,6,672,1092,1592,1,0,0,0,0,0,0,0,1,0,0,0,2017-04-28,14.4,0.0,3.0,57.3,3.3,0.0,0.0,0.0,0.0,2,4,4,2
32,16398,5083,21481,150,15543,13094,447,2002,132,574,4604,20147,855,688,36,131,18,51,479,1334,0,0,0,0,0,1,0,0,1,0,0,0,2017-04-29,17.1,0.0,2.7,44.3,0.0,0.0,0.0,0.0,0.0,1,5,3,1
