,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,18,0,18,6,78,6039,0.0,8853,1343,10196,4286,284,1434,14,1110,7114,72,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-01-01,3.3,0.2,1.3,44.5,8.6,2.83,0.0,0.0,0.2,3.0,1.0,3.0,1.0
1,1,0,1,1,4,671,0.0,1006,678,1684,439,47,185,0,653,1324,3,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-01-02,3.1,0.5,1.4,80.1,7.0,3.33,0.0,0.0,0.5,3.0,1.0,5.0,1.0
2,7,0,7,3,22,1053,0.0,1557,1070,2627,703,62,288,0,1008,2061,19,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2007-01-03,5.3,0.0,1.9,63.9,4.8,0.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0
3,9,0,9,4,22,1507,0.0,2369,1018,3387,978,97,432,1,945,2452,18,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2007-01-04,4.8,0.0,1.5,58.9,0.4,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0
4,12,0,12,4,34,1088,0.0,1730,815,2545,683,86,319,0,784,1872,30,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007-01-05,4.5,0.0,2.1,60.9,6.6,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0
5,0,0,0,0,0,547,0.0,716,574,1290,364,49,134,7,557,1104,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2007-01-06,-1.2,9.0,4.3,76.6,6.6,9.35,0.0,0.0,9.0,3.0,1.0,5.0,4.0
6,0,0,0,0,2,1571,0.0,2308,682,2990,1125,83,363,0,654,2225,2,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2007-01-07,-3.9,0.0,2.9,63.6,1.4,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0
7,0,0,0,1,3,417,0.0,694,553,1247,302,35,80,0,539,956,2,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-01-08,-3.0,0.0,2.7,52.5,0.9,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
8,0,0,0,3,3,562,0.0,925,638,1563,376,59,127,0,630,1192,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-01-09,-1.7,0.0,1.5,58.9,4.6,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0
9,2,0,2,1,7,816,0.0,1202,824,2026,549,69,165,0,810,1593,6,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2007-01-10,-0.4,0.0,1.7,62.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0
10,0,0,0,2,2,776,0.0,1251,763,2014,534,60,182,0,750,1526,0,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2007-01-11,-1.6,0.0,1.5,44.0,2.3,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
11,3,0,3,0,6,770,0.0,1169,738,1907,405,69,234,0,725,1433,6,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007-01-12,-3.0,0.0,2.5,43.6,1.5,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
12,2,0,2,2,7,1656,0.0,2302,681,2983,1065,138,453,0,659,2315,5,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2007-01-13,-5.2,0.0,2.2,41.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
13,4,0,4,5,21,3583,0.0,5246,861,6107,2603,142,838,0,825,4408,16,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2007-01-14,-2.7,0.0,1.5,39.5,0.9,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
14,3,0,3,0,9,827,0.0,1320,810,2130,596,63,168,0,777,1604,9,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-01-15,-0.2,0.0,1.4,54.4,5.4,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0
15,4,0,4,7,24,960,0.0,1544,836,2380,624,85,251,0,803,1763,17,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-01-16,2.2,0.0,1.4,65.0,6.6,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0
16,33,0,33,4,49,932,0.0,1472,870,2342,656,92,184,0,838,1770,45,2,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2007-01-17,2.3,0.0,2.1,70.3,5.4,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0
17,4,0,4,5,21,998,0.0,1520,906,2426,726,65,175,0,877,1843,16,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2007-01-18,1.0,0.0,2.5,50.3,0.4,0.38,0.0,0.0,0.0,1.0,1.0,3.0,1.0
18,0,0,0,3,4,1229,0.0,1697,861,2558,641,116,338,0,833,1928,1,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007-01-19,0.2,0.0,1.4,45.1,1.9,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
19,14,0,14,4,60,4322,0.0,6260,1219,7479,2972,198,1117,7,1143,5430,56,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2007-01-20,1.0,0.0,1.3,40.6,2.8,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
20,31,0,31,13,154,6729,0.0,9783,1184,10967,4850,247,1632,10,1013,7742,141,1,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2007-01-21,1.8,0.0,1.4,48.6,3.6,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
21,7,0,7,9,28,1257,0.0,1835,887,2722,894,86,277,0,861,2118,19,2,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-01-22,2.0,0.0,2.5,65.4,3.6,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0
22,3,0,3,1,11,1260,0.0,1831,813,2644,798,104,313,0,796,2011,10,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-01-23,1.9,0.0,1.5,58.8,4.8,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0
23,12,0,12,3,31,1421,0.0,1785,944,2729,830,111,338,0,916,2195,28,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2007-01-24,1.5,0.0,1.8,54.4,0.9,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
24,4,0,4,2,17,1134,0.0,1762,845,2607,756,110,268,0,820,1954,15,1,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2007-01-25,1.0,0.0,1.4,55.6,2.8,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
25,1,0,1,3,4,681,0.0,955,537,1492,404,43,163,0,529,1139,1,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007-01-26,1.4,0.1,2.2,66.6,9.1,5.25,0.0,0.0,0.1,4.0,1.0,5.0,1.0
26,3,0,3,5,13,2161,0.0,2851,815,3666,1359,106,618,2,796,2879,8,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2007-01-27,0.7,0.0,2.3,61.3,4.5,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0
27,13,0,13,12,78,4919,0.0,7014,968,7982,3428,234,1227,0,908,5797,66,1,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2007-01-28,0.2,0.0,2.1,55.3,0.8,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
28,1,0,1,1,11,832,0.0,1241,830,2071,598,79,155,0,808,1640,10,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-01-29,1.0,0.0,1.9,59.3,2.4,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
29,0,0,0,0,2,608,0.0,947,533,1480,402,59,147,0,527,1135,2,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-01-30,-0.4,1.0,3.7,54.8,4.3,1.87,0.0,0.0,1.0,2.0,1.0,4.0,2.0
30,5,0,5,2,11,383,0.0,596,650,1246,259,31,93,0,638,1021,9,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2007-01-31,-3.7,0.0,2.9,46.6,1.6,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
31,196,0,196,106,738,51709,0.0,75741,25746,101487,35205,3109,12698,41,24532,75544,632,10,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,2007-02-01,-5.4,0.0,3.1,48.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0
32,4,0,4,0,6,264,0.0,392,430,822,176,38,50,0,426,690,6,0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2007-02-02,-5.0,0.0,2.2,45.8,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
33,0,0,0,0,0,298,0.0,421,540,961,210,37,51,2,530,828,0,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007-02-03,0.3,0.0,2.9,61.5,3.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0
34,4,0,4,4,16,1676,0.0,2402,913,3315,1141,142,393,7,888,2564,12,0,2.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2007-02-04,3.0,0.0,1.2,39.3,0.3,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
35,53,0,53,44,296,8364,0.0,12189,1366,13555,6345,248,1771,0,1213,9577,252,1,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2007-02-05,4.5,0.0,1.5,62.5,7.1,0.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0
36,2,0,2,1,16,820,0.0,1113,857,1970,634,64,122,0,840,1660,15,2,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-02-06,8.0,0.0,1.6,65.4,3.9,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0
37,12,0,12,5,33,1324,0.0,1693,876,2569,1003,71,201,0,847,2122,28,0,2.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-02-07,7.1,0.0,1.1,52.1,0.5,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0
38,10,0,10,4,50,1480,0.0,2096,1006,3102,1159,119,202,0,980,2460,46,1,2.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2007-02-08,5.6,1.0,1.8,77.5,9.4,8.75,0.0,0.0,1.0,4.0,2.0,5.0,1.0
39,0,0,0,2,4,181,0.0,223,414,637,150,12,19,2,412,593,2,0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2007-02-09,4.6,0.0,2.8,70.3,8.4,0.08,0.0,0.0,0.0,3.0,2.0,5.0,1.0
40,1,0,1,0,4,717,0.0,967,776,1743,446,65,142,0,758,1411,4,0,2.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2007-02-10,3.5,0.0,3.5,59.5,4.4,0.07,0.0,0.0,0.0,2.0,1.0,4.0,2.0
41,19,0,19,4,77,3935,0.0,5933,1045,6978,2684,214,992,0,999,4889,73,1,2.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2007-02-11,1.3,0.0,2.4,51.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0
42,30,0,30,1,106,6252,0.0,9208,942,10150,4713,209,1330,0,910,7162,105,0,2.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2007-02-12,3.4,0.0,1.8,58.3,1.5,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0
43,1,0,1,7,19,827,0.0,1084,817,1901,675,74,78,0,785,1612,12,0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2007-02-13,3.7,11.5,2.7,64.5,9.3,7.67,0.0,0.0,11.5,4.0,1.0,5.0,1.0
44,0,0,0,5,11,556,0.0,589,541,1130,271,48,146,0,533,998,6,0,2.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2007-02-14,-0.1,0.1,4.5,59.6,5.8,1.22,0.0,0.0,0.1,2.0,1.0,4.0,4.0
