,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,4,0,4,0,22,1844,0.0,2554,443,2997,1346,73,425,0,426,2270,22,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2006-01-01,1.4,0.0,1.6,80.1,9.3,4.25,0.0,0.0,0.0,4,1,5,1
1,0,0,0,0,3,1454,0.0,1815,678,2493,972,85,397,0,662,2116,3,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2006-01-02,0.2,0.0,2.8,71.5,4.6,1.58,0.0,0.0,0.0,2,1,5,1
2,0,0,0,0,2,885,0.0,1266,572,1838,555,69,261,0,563,1448,2,2,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2006-01-03,-2.4,0.0,2.9,37.5,1.6,0.0,0.0,0.0,0.0,1,1,2,1
3,0,0,0,0,0,338,0.0,554,535,1089,241,35,62,0,533,871,0,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2006-01-04,-6.2,0.0,2.8,42.6,9.3,0.0,0.0,0.0,0.0,4,1,3,1
4,1,0,1,0,2,551,0.0,645,344,989,197,143,98,0,343,781,2,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2006-01-05,-7.1,0.0,2.5,39.6,1.4,0.0,0.0,0.0,0.0,1,1,2,1
5,0,0,0,0,0,358,0.0,613,362,975,231,39,88,0,362,720,0,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2006-01-06,-7.5,0.0,2.8,44.1,1.0,0.0,0.0,0.0,0.0,1,1,3,1
6,2,0,2,0,5,762,0.0,1088,429,1517,499,51,212,0,427,1189,5,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2006-01-07,-6.2,0.0,2.3,38.6,0.0,0.0,0.0,0.0,0.0,1,1,2,1
7,5,0,5,0,14,1948,0.0,2710,652,3362,1403,99,446,0,626,2574,14,2,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2006-01-08,-4.2,0.0,1.4,44.5,2.4,0.0,0.0,0.0,0.0,1,1,3,1
8,0,0,0,0,2,944,0.0,1229,528,1757,674,46,224,0,522,1466,2,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2006-01-09,-1.6,0.3,1.7,57.5,5.1,4.62,0.0,0.0,0.3,2,1,4,1
9,0,0,0,0,4,625,0.0,1011,629,1640,404,50,171,0,626,1251,4,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2006-01-10,-0.3,0.0,2.0,72.5,4.0,0.0,0.0,0.0,0.0,2,1,5,1
